number	book
60	1 Pet.
60	1 Peter
60	1 Pt.
60	1P.
60	1Pe.
60	1PE.
60	1Pet.
60	1Peter
60	1Pt.
60	1st Peter
60	First Peter
60	I Pe.
60	I Pet.
60	I Peter
60	I Pt.
61	2 P.
61	2 Pe.
61	2 Pet.
61	2 Peter
61	2 Pt.
61	2nd Peter
61	2P.
61	2Pe.
61	2PE.
61	2Pet.
61	2Peter
61	2Pt.
61	II Pe.
61	II Pet.
61	II Peter
61	II Pt.
61	Second Peter
62	1 J.
62	1 Jhn.
62	1 Jn.
62	1 John
62	1J.
62	1Jhn.
62	1Jn.
62	1JN.
62	1Jo.
62	1Joh.
62	1John
62	1st John
62	First John
62	I Jhn.
62	I Jn.
62	I Jo.
62	I Joh.
62	I John
63	2 J.
63	2 Jhn.
63	2 Jn.
63	2 John
63	2J.
63	2Jhn.
63	2Jn.
63	2JN.
63	2Jo.
63	2Joh.
63	2John
63	2nd John
63	II Jhn.
63	II Jn.
63	II Jo.
63	II Joh.
63	II John
63	Second John
64	3 J.
64	3 Jhn.
64	3 Jn.
64	3 John
64	3J.
64	3Jhn.
64	3Jn.
64	3JN.
64	3Jo.
64	3Joh.
64	3John
64	3rd John
64	III Jhn.
64	III Jn.
64	III Jo.
64	III Joh.
64	III John
64	Third John
65	Jd.
65	Jud.
65	JUD.
65	Jude
66	Apocalypse of John
66	Re.
66	Rev.
66	REV.
66	Revelation
66	Revelation to John
66	Rv.
66	The Revelation
70	Bar.
70	BAR.
70	Baruch
71	Add. Dan.
71	Adddan.
71	AddDan.
71	Additions to Daniel
71	Dag.
71	DAG.
71	DanGr.
71	DanTh.
71	Dnt.
71	DNT.
72	Azariah
72	Pr. Az.
72	Pr. Azar.
72	Prayer of Azariah
72	PrAzar.
72	S3Y.
72	Sg. of 3 Childr.
72	Sg. Three
72	Song of the Three Holy Children
72	Song of Thr.
72	Song of Three
72	Song of Three Children
72	Song of Three Jews
72	Song of Three Youths
72	Song Thr.
72	The Song of the Three Holy Children
72	The Song of Three Jews
72	The Song of Three Youths
73	Bel
73	BEL
73	Bel and Dr.
73	Bel and the Dragon
73	Bel.
73	BelTh.
73	Blt.
73	BLT.
75	Sst.
75	SST.
75	Sus.
75	SUS.
75	Susanna
75	SusTh.
76	1 Esd.
76	1 Esdr.
76	1 Esdras
76	1Es.
76	1ES.
76	1Esd.
76	1Esdr.
76	1Esdras.
76	1st Esdras
76	First Esdras
76	I Es.
76	I Esd.
76	I Esdr.
76	I Esdras
77	2 Esd.
77	2 Esdr.
77	2 Esdras
77	2Es.
77	2ES.
77	2Esd.
77	2Esdr.
77	2Esdras
77	2nd Esdras
77	II Es.
77	II Esd.
77	II Esdr.
77	II Esdras
77	Second Esdras
78	Add. Es.
78	Add. Esth.
78	AddEsth.
78	Additions to Esther
78	Ade.
78	ADE.
78	AEs.
78	Esg.
78	ESG.
78	EsthGr.
78	Rest of Esther
78	The Rest of Esther
79	Ep. Jer.
79	EpJer.
79	Let. Jer.
79	Letter of Jeremiah
79	Lje.
79	LJe.
79	LJE.
79	Ltr. Jer.
80	Jdt.
80	JDT.
80	Jdth.
80	Jth.
80	Judith
81	1 Mac.
81	1 Macc.
81	1 Maccabees
81	1M.
81	1Ma.
81	1MA.
81	1Mac.
81	1Macc.
81	1Maccabees
81	1st Maccabees
81	First Maccabees
81	I Ma.
81	I Mac.
81	I Macc.
81	I Maccabees
82	2 Mac.
82	2 Macc.
82	2 Maccabees
82	2M.
82	2Ma.
82	2MA.
82	2Mac.
82	2Macc.
82	2Maccabees
82	2nd Maccabees
82	II Ma.
82	II Mac.
82	II Macc.
82	II Maccabees
82	Second Maccabees
83	3 Mac.
83	3 Macc.
83	3 Maccabees
83	3M.
83	3Ma.
83	3MA.
83	3Mac.
83	3Macc.
83	3Maccabees
83	3rd Maccabees
83	III Ma.
83	III Mac.
83	III Macc.
83	III Maccabees
83	Third Maccabees
84	4 Mac.
84	4 Macc.
84	4 Maccabees
84	4M.
84	4Ma.
84	4MA.
84	4Mac.
84	4Macc.
84	4Maccabees
84	4th Maccabees
84	Fourth Maccabees
84	IV Ma.
84	IV Mac.
84	IV Macc.
84	IV Maccabees
85	Man.
85	MAN.
85	PMa.
85	Pr. Man
85	Pr. of Man.
85	Prayer of Manasseh
85	Prayer of Manasses
85	PrMan.
86	Add. Ps.
86	Add. Psalm
86	Additional Psalm
86	AddPs.
86	Ps. 151
86	Ps2.
86	PS2.
86	Ps151
86	Psalm 151
87	Ecclesiasticus
87	Ecclus.
87	Sir.
87	SIR.
87	Sirach
87	Sirp.
87	SirP.
88	Tb.
88	Tbs.
88	TBS.
88	TOB
88	Tob.
88	Tobit
88	TobS.
89	Wis.
89	WIS.
89	Wisd. of Sol.
89	Wisdom
89	Wisdom of Solomon
89	Ws.
90	Ps. Sol.
90	Ps. Solomon
90	Psalms of Solomon
90	Psalms Solomon
90	Pss.
90	PSS.
90	PsSol.
90	PssSol.
91	Oda.
91	ODA.
91	Ode.
91	Odes
92	Ep. Lao.
92	Ep. Laod.
92	Epist. Laodiceans
92	Epistle Laodiceans
92	Epistle to Laodiceans
92	Epistle to the Laodiceans
92	EpLao.
92	Lao.
92	Laod.
92	Laodiceans
